name,street,city,zip,email,description,url,facilities,activities,
Arkansas Headwaters Recreation Area,307 W. Sackett Ave.,Salida,81201,ahra@state.co.us,"""We are the river."" That's the catchphrase for fun and adventure in this recreation area along one of the most popular whitewater boating rivers in the United States that also features the longest continuous stretch of Gold Medal water in Colorado. In spring and summer, river lovers can bring their own craft or float with a professional outfitter, following 152 miles of the mild-to-wild Arkansas River, from Leadville to Lake Pueblo. A range of challenging levels awaits whitewater rafters, canoeists, kayakers and stand-up paddleboarders, from Class II and III for beginner and family trips, to roaring Class IV and V rapids for the adventure-minded. Check the website for a list of licensed outfitters and boating companies. For those more interested in recreation on land, there's plenty to do along the river's winding course. Walk & wade anglers can try their luck in the Gold Medal waters. Others might want to pan for gold at the river's edge, rock climb in steepwalled canyons, picnic or watch wildlife along the river and amid the gentle valleys and high mountains. There are eight campgrounds and numerous recreation sites along the river providing a variety of trails that can be utilized to access the river or provide an opportunity to view wildlife. Summer weekends can be very busy on the river, so try a weekday visit if possible. Because river conditions continually change, visitors should check the park's website prior to visiting",http://cpw.state.co.us/placestogo/Parks/ArkansasHeadwatersRecreationArea,"visitor center, boat ramp, basic campsites, group campground, group picnic area, picnic sites","biking, boating, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, ice skating, OHV, ranger/nature programs, rock climbing, swimming, wildlife/bird viewing, winter camping",
Barr Lake State Park,13401 Picadilly Road,Brighton,80603,barr.lake@state.co.us,"Birds. They're the headliners at Barr Lake, a mecca for birdwatchers from throughout the West. More than 370 species have been sighted here and records date back to the 1880s. Visitors can see bird banding in action at the migration-season banding station. Many bald eagles spend winter in the area and one pair regularly nests here in summer, raising young in a tree at the water's edge. A visit might start with a stop at the nature center and a talk with a naturalist. Circling the lake on the level 8.8-mile, multi-use trail, much of it through a designated wildlife refuge, is a good way to see the park, particularly by bicycle or horseback. Several wildlife-viewing stations interpret the park's wildlife and offer good places to stop and watch for birds, deer, coyotes and other wildlife, both on water and on land. This 1,900-acre prairie reservoir on the northeast side of Denver makes a great family fishing adventure or weekend picnic spot. Anglers can catch channel catfish, small and largemouth bass, rainbow trout, walleye, bluegill, wiper and tiger muskie in the lake. Kayakers and canoeists particularly enjoy the calm waters because boat motors are limited to 10 horsepower. The archery range, free with park entrance, is another fun activity. The archery range features 12 lanes from 10-60 yards. Classes on basic archery are occasionally offered. A 3D walking archery range will be opening in spring 2015.",http://cpw.state.co.us/placestogo/parks/BarrLake,"nature center, archery range, boat ramp, group picnic area, picnic sites","biking, cross-country skiing/snowshoeing, boating, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, ranger/nature programs, sail/ paddle sports, wildlife/bird viewing",
Boyd Lake,3720 North County Road 11-C,Loveland,80538,boyd.lake@state.co.us,"Colorful sailboats skimming blue water. Ski boats and jet skis cutting the waves. Canoes paddling the lake edge. All against a stunning mountain backdrop. That's the scene at Boyd Lake, a 1,747-acre watersports haven lying between the plains and the mountains at the very foot of snow-capped Longs Peak. Power zones for water skiing, wakeboarding, and riding personal watercraft; and no-wake zones for paddle sports, fishing and floating, offer an enjoyable boating experience for all types of users. With its large, modern campground, featuring 148 paved, pull-through sites, it's a perfect spot for a getaway focused around the water. Anglers have the chance to hook white, large and smallmouth bass, bluegill, carp, catfish, crappie, walleye and yellow perch. There's a beach for sunbathing, sand play and a swimming pavilion. The marina is open seasonally, offering mooring slips, boat and watercraft rental and a store that sells fishing supplies and groceries. For a breakaway from the water, visitors can hike, picnic, watch wildlife, hunt in season and bike along a paved, lake-edge trail that links to the City of Loveland trail system. Pets must be kept on a 6-foot leash. Located an hour north of Denver, Boyd Lake is a great destination for residents all along the northern Front Range.",http://cpw.state.co.us/placestogo/parks/BoydLake,"visitor center, boat ramp, jet ski rental, boat rental, campsites with electric, dump station, group picnic area, laundry, marina, mooring/docking, picnic sites, shower","biking, boating, cross-country skiing/snowshoeing, fishing, geocaching, hiking, hunting, ice fishing, ice skating, jet skiing, ranger/ nature programs, sail/paddle sports, swimming, water skiing, wildlife viewing, winter camping",
Castlewood Canyon,2989 South Highway 83,Franktown,80116,castlewood.canyon@state.co.us,,http://cpw.state.co.us/placestogo/Parks/castlewoodcanyon,"visitor center, group picnic area, picnic sites","cross-country skiing/ snowshoeing, hiking, ranger/nature programs, rock climbing, wildlife/bird viewing",
Chatfield,11500 North Roxborough Park Road,Littleton,80125,chatfield.park@state.co.us,"Fun on land and water. That’s the draw at this park along the South Platte River where it flows out of the mountains onto the prairie at the mouth of Waterton Canyon. The meeting of multiple habitats makes Chatfield a great spot for bird watching, with 345 documented species including bald eagles, American white pelicans and burrowing owls. Deer, elk, coyotes, foxes, rabbits, prairie dogs and numerous reptiles and amphibians inhabit the park. The reservoir is a popular destination for swimming, fishing, water and jet skiing, sailing and boating of all kinds, especially on warm weekends. This is one of the most popular parks in the Denver metro area, so plan ahead. Amenities include four campgrounds, boat rentals, a floating restaurant and a marina. Chatfield offers 26 miles of trails (12 of them paved) for hiking, biking and horseback riding. Horses can be rented at Chatfield Stables and riding is restricted to the park perimeter. Pets are allowed on trails but must be on a leash. There’s a model airplane field and a 69-acre dog off-leash area. Many mornings, colorful hot air balloons rise from the park and winter offers ice fishing for dedicated anglers.",http://cpw.state.co.us/placestogo/Parks/Chatfield,"boat ramp, boat rental, campsites with electric, dump station, full-hookup campsites, group picnic area, group campground, laundry, marina, mooring/docking, picnic sites, shower, stable/horse rental","biking, boating,cross-country skiing/snowshoeing,fishing, hiking, horseback trails, icefishing, ice skating, jet skiing, ranger/nature programs, sail/paddle sports,swimming, water skiing, wildlife/birdviewing, winter camping",
Cherry Creek,4201 South Parker Road,Aurora,80014,cherry.creek.park@state.co.us,"Surrounded by the Denver metro area, Cherry Creek offers a recreational oasis amid the hectic urban world. Almost any day, the park’s 35 miles of multi-use trails, including 15 miles of paved trails, are abuzz with walkers, hikers, bikers, inline skaters and families on outings. In winter there might be snowshoers or cross-country skiers. The cool waters of Cherry Creek Reservoir attract water-skiers, anglers and boaters of all kinds. The top-notch fishing offers walleye, trout, crappie, bass, perch, bluegill and more. Families crowd the swim beach on warm weekends. The campground boasts 133 newly renovated, modern campsites. Other amenities, some of them seasonal, include an amphitheater, boat ramps, marina, model airplane field, family shooting range, horse rental, group picnic facilities and dog off-leash area. Because of its easy accessibility, Cherry Creek can be very crowded, so plan ahead and arrive early. The diversity of natural communities make the park a wonderful site for nature study, attracting waterbirds, shorebirds, songbirds and raptors of all kinds including bald and golden eagles, American white pelicans, white-faced ibis and a mix of prairie and woodland songbirds.",http://cpw.state.co.us/placestogo/Parks/cherrycreek,"archery/shooting range, boat ramp, boat/jet ski rental, dump station, full-hookup campsites, group camping, group picnic area, laundry, picnic sites, shower, stable/horse rental, marina","biking, boating, cross-country skiing/snowshoeing, fishing, hiking, ice fishing, ice skating, jet skiing, horseback trails, ranger/nature programs, sail/paddle sports, swimming, water skiing, wildlife/bird viewing, winter camping",
Cheyenne Mountain,410 JL Ranch Heights,Colorado Springs,80926,cheyenne.park@state.co.us,"Discover nature, from prairie to peak, at this 2,701-acre former ranch tucked beneath the eastern flank of Cheyenne Mountain. Twenty-one miles of easy to moderate hiking and biking trails lead visitors from prairie grasslands through a stunning foothills transition zone of Gambel oak and ponderosa pine/Douglas fir. The natural habitats are remarkably undisturbed and unfragmented, offering outstanding wildlife viewing. Visitors may glimpse coyotes, foxes, deer, elk, black bears, bobcats and prairie dogs as well as golden eagles, wild turkeys and red-tailed hawks. The bird list boasts more than 100 species. To protect the park’s spectacular natural landscape, pets are not allowed on trails and smoking is strictly prohibited on trails and in the backcountry. After a stop at the visitor center, visitors can take a guided nature hike or family mystery hike, enjoy geocaching or attend an interpretive program. Youngsters 7 to 12 can earn their Junior Ranger badge or try their skill at the archery range. The campground offers 51 full-service campsites and 10 basic tent sites. The camper services store is open mid-April to mid-October with camping supplies, showers, laundry and playground.",http://cpw.state.co.us/placestogo/Parks/cheyennemountain,"visitor center, archery range, basic campsites, group picnic area, group campground, full-hookup campsites, laundry, picnic sites, shower","biking, cross-country skiing/snowshoeing, geocaching, hiking, horseback trails, ranger/nature programs, wildlife/bird viewing, winter camping",
Crawford,40468 Highway 92,Crawford,81415,crawford.park@state.co.us,"Imagine fishing, water skiing or camping on a 400-acre reservoir against the backdrop of stunning mountain peaks and you’ll have an idea of the scene at this park just 12 miles from Black Canyon of the Gunnison National Park. At 6,600 feet elevation, the mild climate offers outdoor recreation four seasons of the year. Anglers will find rainbow trout, perch, crappie, largemouth bass, catfish and northern pike in the lake’s waters. Boating opportunities include jet and water skiing, sailing, canoeing and swimming. Winter sports include cross-country skiing and ice fishing—when snow cover or ice thickness allows. Piñon-juniper woodlands with mountain mahogany, Gambel oak and other shrubs dominate the uplands, with areas of sagebrush, desert shrubs and grasses. Wetlands and riparian areas around the reservoir attract a variety of wildlife and songbirds. Wildlife watchers will often find beavers, chipmunks, rabbits and mule deer at the shoreline late in the evening. Migratory waterfowl, shorebirds and raptors are attracted to the reservoir and surrounding habitats in spring and fall. Two campgrounds, Iron Creek and Clear Fork, accommodate tents, trailers and campers with shower facilities. Iron Creek has electric and water hookups at each campsite.",http://cpw.state.co.us/placestogo/Parks/crawford,"visitor center, basic campsites, boat ramp, dump station, campsites with electric, group picnic area, picnic sites, shower","biking, boating, cross-country skiing/snowshoeing, fishing, hunting, hiking, ice fishing, jet skiing, ranger/nature programs, sail/paddle sports, snow tubing, swimming, water skiing, winter camping, wildlife/bird viewing",
Eldorado Canyon,"9 Kneale Road, P.O. Box B",Eldorado Springs,80025,eldorado.park@state.co.us,"A stunning canyon with towering sandstone cliffs, outstanding rock climbing, 1.6 billion years of geology on display and the flora and fauna of a foothills canyon…all in the backyard of the city of Boulder. Visitors will find this and more when they go in search of Eldorado. With more than 500 technical routes up scenic cliffs with names like Wind Tower, The Bastille and Whale’s Tail, Eldorado is a mecca for rock climbers from around the world. The park’s popularity makes weekends and holidays from May through September very busy, so it’s best to visit on weekdays in the warm months. Trails for hiking and mountain biking vary from easy to difficult and connect with Boulder’s trail system. Visitors can picnic, fish in South Boulder Creek and watch for mule deer, elk, golden eagles, wild turkeys and other wildlife. Large colonies of bats breed in summer in the caves of the Inner Canyon. Winter visitors can enjoy cross-country skiing and snowshoeing. The park’s two separate parcels — Inner Canyon and Crescent Meadows — are connected by the 3 _-mile Eldorado Canyon Trail, with an elevation change of 1,000 feet. Eldorado is a day-use only park. It closes at sunset and camping is not permitted. Camping is available however, at nearby Golden Gate Canyon and St. Vrain state parks.",http://cpw.state.co.us/placestogo/Parks/eldoradocanyon,"visitor center, picnic sites","biking, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting (primitive weapons – only at the Crescent Meadows property), ranger/nature programs, rock climbing, wildlife viewing",
Eleven Mile,4229 County Road 92,Lake George,80827,eleven.mile.park@state.co.us,"Water, water everywhere—for fishing, boating and fun! Ringed by high mountains, this 3,400 acre reservoir at 8,600 feet elevation offers trophy-sized fishing opportunities for rainbow, brown and cutthroat trout and northern pike. Some of the largest fish ever caught in the state have been pulled from these waters. Visitors may enjoy motor boating, kayaking, canoeing, sailing or windsurfing-fullbody wetsuit recommended. Strong winds, high waves and fast-moving storms may challenge boaters. Swimming, water skiing, wading and scuba diving are not allowed. The park has 348 tent, trailer and motor home campsites, scattered around the reservoir at nine separate campgrounds. For the slightly more adventurous, 25 of the sites are walk-in/boat-in backcountry sites. Wildlife watchers may spot pronghorn, elk, deer, bobcats, coyotes and various other mammals. Birders should keep an eye out for a variety of songbirds, raptors, waterfowl and shorebirds and may spot bald eagles, American white pelicans and peregrine falcons. Hunting is permitted in certain areas of the park in-season. In the 4,000 acres of land around the reservoir, visitors can hike or bike nearly five miles of scenic trails in the Coyote Ridge/ Backcountry area. Motorized vehicles are only allowed on designated roads.",http://cpw.state.co.us/placestogo/Parks/ElevenMile,"visitor center, boat ramp, boat rental, dump station, campsites with electric, laundry, marina, mooring/docking, picnic sites, shower","biking, boating, crosscountry skiing/snowshoeing, fishing, geocaching, hiking, hunting, ice fishing, ice skating, ranger/nature programs, wildlife/bird viewing, winter camping",
